text,model_summary,descriptions,original_label
"Mr Green was charged after arriving at Livingston police station. Mr Whyte later attended a police station in Glasgow and was detained in custody. A third man, former Rangers co-administrator David Whitehouse, was earlier arrested in England. All three men are expected to appear at Glasgow Sherriff Court on Wednesday. Craig Whyte, 44, took over Rangers in May 2011. The club entered administration the following year. Charles Green led the consortium which bought Rangers assets in 2012 following the club's liquidation. But he stepped down from Rangers a year later following allegations that he was working in conjunction with Craig Whyte. A police spokesman said: ""Police Scotland can confirm a 44-year-old man has been arrested and is presently detained in police custody in connection with an ongoing investigation into an alleged fraudulent acquisition of Rangers FC in 2012. ""A report will be submitted to the procurator fiscal."" An earlier police statement said a 62-year-old man had been arrested and detained over the same investigation. Arriving at the police station on Tuesday morning, Mr Green, 62, said: ""I've been invited to attend an interview with Police Scotland. I have done that on a number of occasions in the past."" Asked why he was there, Mr Green replied: ""Well, one of the difficulties with today is my legal people had asked Police Scotland to provide us information that we're likely to be questioned on and they wouldn't provide that so I'm at a loss really."" David Whitehouse, 50, who worked for administrators Duff and Phelps, had earlier been arrested in connection with the 2012 acquisition. Police said in a statement: ""Following a Police Scotland operation on Tuesday, a 50-year-old man has been arrested in connection with the ongoing investigation into the alleged fraudulent acquisition of Rangers FC in 2012. ""Around 6am officers from Police Scotland's economic crime unit, assisted by officers from Cheshire, attended at an address in England and detained the 50-year-old man. ""He has now been arrested and is presently detained in police custody.""",Former Rangers owner Craig Whyte and ex-chief executive Charles Green have been arrested in connection with the alleged fraudulent acquisition of the club in 2012.,"['The summary claims Craig Whyte is the former owner which is not found in the source text.', 'The summary claims Charles Green is an ex-chief executive which is not found in the source text.']",inconsistent
"One officer was killed and 10 people injured as police and occupiers confronted each other. Locals occupied the mine and refused to leave until the miners paid them a ""tribute"". They allege that the mine lies on their ancestral lands and they should be compensated by those exploiting it. There are conflicting reports as to how police Sergeant Jose Luis Quispe died. A lawyer for the miners said he was pushed over a precipice by the squatters. But one of the squatters said the officer fell as he was fleeing the clashes. Other witnesses said Sgt Quispe lost his balance after the protesters threw an explosive device in his direction. Interior Minister Carlos Romero said his death would be investigated and those responsible would be punished harshly. One of the occupiers told local radio that the violence was triggered when more than 200 officers were sent to evict them. He warned that if the officers were not recalled, locals would block roads. He said that the miners had tried to convince locals of the benefits their work would bring to the community. But he insisted that locals wanted compensation from the mining co-operative. The government on Tuesday welcomed the release by the occupiers of four police officers they had been holding hostage since Monday.",Police in Peru have clashed with squatters who have been occupying a gold mine in the north of the country.,"['The summary is not correct because it adds the location being in Peru.', 'The summary is not correct because it adds the mine being a gold mine.', 'The summary is not correct because it adds it taking place in the north of the country.']",inconsistent
"The 36-year-old, who has won 94 caps for his country, leaves Munster after 270 competitive appearances in 17 seasons for the Irish province. ""Donncha has tremendous know-how at the highest level,"" boss Dean Ryan said. ""To bring in someone with such international and European experience is a real coup for the club."" O'Callaghan, who also made four appearances for the British & Irish Lions in 2009, has played in three consecutive World Cups for Ireland and helped to win the Six Nations Grand Slam in 2009. He has also picked up two Heineken Cup winners' medals, along with two Magners League titles, for Munster. ""I'm very grateful to Munster for all that they've done for me,"" he said. ""But now I'm hungry for my new challenge. ""I watched the Bristol game where Warriors turned it around in the last seven minutes at the end of last season, and that was really impressive."" There may be more new signings at Sixways before the new Premiership season kicks off at home to Northampton on Friday, 16 October. Experienced Springbok centre Wynand Olivier is also reportedly set to sign on a two-year deal following his release by Montpellier.",Worcester Warriors have signed Ireland lock Donncha O'Callaghan on a two-year deal.,"['The source text does not mention the full name of the Warriors.', ""The source text does not mention Donncha O'Callaghan's position.""]",inconsistent
"Work to build the Pontio centre at Bangor University began in 2012 - and it is already a year late opening. The new centre houses a theatre, digital cinema, students' union, bars and restaurant and business innovation spaces. A full programme of artistic events is due to get under way from December. Prof Jerry Hunter, the university's pro vice chancellor, said it was a ""great pleasure"" to finally make public some of the ""fantastic facilities"" on offer. ""It has been a difficult journey, but now we have created a transformational centre for innovation in science and the arts in Bangor,"" he said. The centre is on the site of the former Theatr Gwynedd which closed in 2008, and was demolished to make way for the new project. But it has been blighted by delays along the way, and a planned autumn 2014 opening had to be abandoned.",A £20m arts and innovation centre in Gwynedd has opened to the public.,"['The summary includes info not found in the source text, e.g. £20m cost.', 'The summary states the location of the new facility is in Gwynedd, but according to the text it is in Bangor, and will replace the Gwynedd Theatr']",inconsistent
"Vern Cotter names his squad for the Championship on Tuesday, three months after a 35-34 quarter-final defeat. Referee Craig Joubert awarded the Wallabies a late penalty that replays suggested was an incorrect decision. ""You feel you're over it and then you see something and it brings it all back,"" Hogg told BBC Scotland. ""I was watching something on the TV a couple of weeks ago about the legacy of the World Cup and when us going out came up, it just brought back horrible memories. It was bitterly disappointing."" Hogg is set to be included in a squad missing the injured Harlequins wing Tim Visser - ruled out of at least the first two games - and flanker Alasdair Strokosch, who retired from Test rugby after the World Cup. Another injury concern is Glasgow centre Mark Bennett, who was due to see a specialist on Monday to determine whether he needs an operation on his injured shoulder. The involvement of Warriors pair Ryan Wilson and Tim Swinson could hinge on the outcome of disciplinary proceedings against them following the European Champions Cup loss at Northampton. But club-mate and fellow midfielder Alex Dunbar could return to the Scotland fold after missing the World Cup with the after-effects of a knee injury sustained in training during last year's Six Nations. After the Calcutta Cup opener against England at Murrayfield on 6 February, Scotland travel to Cardiff - one of three away fixtures in this year's campaign - to face Wales in their second match a week later. Hogg says the squad will be desperate to banish the memories of not only their World Cup despair, but the embarrassment of a Six Nations whitewash last year. ""It is another challenge for us now, but we can take immense confidence from the World Cup,"" said the 23-year-old, who has only tasted victory in three of his 19 Six Nations matches since his 2012 debut. ""If I'm fortunate enough to be picked, hopefully we can produce something special in this Six Nations. England first up at Murrayfield is exactly what you want and it would be great to be part of that. ""Getting a good couple of wins early doors would give us immense confidence going forward, and we'd be in the tournament if that happens. ""We have let ourselves down in the last couple of Six Nations but we are looking forward to it."" Hogg and his Glasgow team-mates will be hoping that joining up with Scotland provides a catalyst for rediscovering their World Cup form. Four successive defeats since Christmas have seen them slip to eighth in the Pro 12 table and effectively exit the European Champions Cup, after a third pool defeat on Sunday to Northampton. ""Our target was to become the number one team in Europe and we've fallen short again,"" Hogg noted. ""It's fine and well having good performances here and there but it's wins that we need. Europe is the be-all and end-all of club rugby so we're bitterly disappointed to no longer be part of it."" After their final Champions Cup game against pool leaders Racing 92 at Kilmarnock's Rugby Park on Saturday, Glasgow - eight points off the Pro 12 play-off positions, but with two games in hand - must turn their attention to restoring last season's lustre. ""We're defending champions although to be honest we have not been playing like it lately,"" Hogg added. ""For us it's a challenge to get back up to where we belong.""","Scotland full-back Stuart Hogg says the ""horrible memories"" of last year's World Cup defeat by Australia have returned ahead of the Six Nations.","['The summary adds info about Hogg being a full-back; this fact is not found in the source text', 'The summary states the World Cup defeat happened last year, but the text does not specify when the World Cup took place.']",inconsistent
"The body of Christopher Butler, 27, from Southsea, was discovered at a flat in Waverley Road in the early hours of Friday. A 23-year-old woman and a 33-year-old man, both from Portsmouth, are being held, Hampshire Constabulary said. A post-mortem examination on Friday was inconclusive.",Two people have been arrested on suspicion of murder after a man was found dead in Portsmouth.,"['The summary has misinterpreted the vicitim being found where the suspects are from or it has used information not found in the source.', 'The summary has misinterpreted that the suspects are being arrsted for murder instead to being held']",inconsistent
"The Brit Award winner and three-time Mercury Music Prize nominee tops the bill at the 13th annual festival at Glanusk Park, Powys, on 20 August. Fellow UK acts Belle and Sebastian, on Thursday, James Blake, on Friday, and Wild Beasts, on Sunday, have already been named as the other headliners. The festival was a sellout last year, with about 20,000 people attending. Festival director Fiona Stewart said: ""Laura returns for her third performance at Green Man, her legendary performances have always gone down a storm and we're already feeling awestruck imagining her Saturday night set, full of new album material."" Other new acts booked for this year's Green Man festival include Charlotte Church's Late Night Pop Dungeon - ""a karaoke experience unlike any other you've experienced before, or ever will again"", re-formed 1990s alt-rockers Lush, and DJ Pete Paphides. Among the other prominent acts appearing are Grandaddy, Tindersticks, White Denim, Fat White Family, Cate Le Bon, Gun Outfit, and The Membranes. Previous headliners have included legendary Belfast-born blues and rock singer Van Morrison, ex-Led Zeppelin frontman Robert Plant, US singer-songwriter Patti Smith, Cardiff rockers Super Furry Animals, Fleet Foxes, Jarvis Cocker and Doves. Founded in 2003, Green Man has become one of the most popular alternative festivals. It won the 2010 best medium-sized event and 2012 best ""grass roots"" event at the UK Festival Awards, and 2015 best festival at the Live Music Business awards.",Singer-songwriter Laura Mvula will headline this year's Green Man festival.,"[""The source text doesn't state that she is a singer-songwriter."", 'The summary states that Laura Mvula will headline the festival, but the text does not mention Laura Mvula. Only the name Laura']",inconsistent
"In a report, the Care Quality Commission (CQC) said there were ""significant areas of concern"" at the Widbrook Medical Centre in Trowbridge. Inspectors found issues with systems and processes, but said the level of care given to patients was ""good"". The medical centre has pledged to improve services. The health regulator inspected the practice in December and was told the booking and telephone systems made it difficult for patients to get an appointment that was suitable for them. Inspectors found staff were good at raising concerns and reporting incidents but there was no formal structure for ""sharing any learning within the practice"". Sufficient recruitment checks to verify that staff are ""of good character and have the qualifications and competence"" to carry out their jobs was also criticised. However, inspectors said the majority of patients ""were treated with compassion, dignity and respect"". A spokesman for the medical centre said an action plan to address the findings of the inspection was being put in place. He said: ""We will continue to improve the service we provide to our patients so that our patients are confident they are receiving a quality general practice service and are reviewing our appointment system to support our patients.""","A medical centre in Wiltshire has been rated ""inadequate"" by inspectors.","['The summary is incorrect to say the centre is in Wiltshire, the source text indicates it is in Trowbridge', 'The summary is incorrect to say the centre was rated by inspectors as ""inadequate"", but the source text says the inspectors said there were ""significant areas of concern""']",inconsistent
"Jess Sims and Laura Daniels beat Jo Edwards and Angela Boyd 16-15 to secure Wales' first World Bowls gold since Janet Ackland in 1988. Their success came after Wales had claimed silver in the women's triples . Emma Woodcock, Kathy Pearce and Anwen Butten were beaten in the final by Australia.",Wales have won gold in the women's pairs at the World Bowls Championships in South Korea.,['South Korea is not mentioned and not factually consistent.'],inconsistent
"Nadal faced a match point but the 18-year-old German missed an easy volley - admitting: ""On match point I sucked."" Three-time champion Nadal plays Japan's Kei Nishikori next and could face Novak Djokovic in the semi-finals. Serena Williams beat defending champion Simona Halep 6-4 6-3 to reach the last four in the women's draw. The world number one now plays Poland's Agnieszka Radwanska, who beat Petra Kvitova 6-2 7-6 and will reclaim the world number two ranking when the new list is released on Monday. ""She knows how to play in big stadiums and big matches, big games,"" Williams said of Halep. Zverev has been widely tipped as the teenager most likely to make the breakthrough among the game's elite and he went agonisingly close to a landmark win over Nadal. The 6ft 6in German, the younger brother of tour player Mischa Zverev, led 5-3 and 40-30 in the final set, only to make three straight unforced errors. Nadal, 29, battled back impressively, but had glowing praise for the teenager, who is set to rise to a career-high ranking of 52 next week. ""He is amazingly talented,"" said Nadal. ""He is probably going to be the number one in the world. ""With his second serve at 120mph, with a lot of spin and at 124, 123, 120mph, it was impossible. If he puts the first serve in at over 130 mph then you are in big trouble. ""So I think that I'm here, and still alive."" The world number one beat Spain's Feliciano Lopez 6-3 6-3 to set up a quarter-final with Jo-Wilfried Tsonga of France. Djokovic had not been at his best in the previous rounds but saw off Lopez with little trouble. ""I was very solid. I didn't allow him to come to the net too many times,"" said the Serb. ""It was a good performance."" David Goffin beat French Open champion and third seed Stan Wawrinka 6-3 5-7 7-6 (7-5), while Milos Raonic knocked out sixth seed Tomas Berdych 6-4 7-6 (9-7). In the doubles, Jamie Murray will rise to the top of the world rankings if he wins his quarter-final later on Thursday. Murray and partner Bruno Soares face Feliciano Lopez and Marc Lopez from 22:00 GMT.",Rafael Nadal survived a scare from teenager Alexander Zverev to win 6-4 3-6 6-3 and reach the quarter-finals of the Miami Open.,"['The summary adds unsupported facts about Nadal first name.', 'The summary adds unsupported facts about Zverev first name.', 'The summary adds unsupported facts about the score of the match.', 'The summary adds unsupported facts about  the name of the tournament the match was played at.', 'The summary adds unsupported facts about the round of the tornument.']",inconsistent
"Mr Anderson said he was angry his track record ""wasn't good enough"". Unite Union aide Dan Carden, 30, has been selected in the safe seat. Ben Williams, the secretary of the constituency party, tweeted he will resign in protest at a ""disgraceful undemocratic stitch-up"". Steve Rotheram, the constituency's MP since 2010, said he was standing down from Westminster after being elected mayor of the Liverpool City Region last week. Mr Carden, who joined the Labour Party while at school, was selected by Labour's National Executive Committee. He is an aide to Len McCluskey, general secretary of the UK's largest union, Unite. He was born in Liverpool, but critics argue he is inexperienced in the city's politics compared to the other candidates. Mr Anderson, who was on the final short list along with Mr Carden said: ""I put myself forward for the selection in Liverpool Walton on my track record of running a successful Labour council in a major city and my desire to use those skills for Walton, for Liverpool and a new Labour government. ""Apparently it wasn't good enough for the panel."" Mr Anderson said he had turned Labour's fortunes around in the city, leading a socialist council and protecting those most in need. North West Euro MP Theresa Griffin had also put herself forward. Labour won Liverpool Walton in 2015 with a majority of more than 27,000.",Liverpool City Council leader Joe Anderson has pulled out of the race to become Labour's new MP for Liverpool Walton.,"[""The summary add the fact about Anderson's first name which is not found in the source text."", 'The summary states that Joe Anderson has pulled out of the race, but the text does not mention him withdrawing from the race, just not being selected.', 'The summary identifies Joe Anderson as the Liverpool City Council leader, but the text does not mention this title or role.']",inconsistent
"Media playback is not supported on this device . A statement from F1's governing body the FIA said the man gained ""unauthorised access"" to the circuit. The FIA said: ""We are awaiting a full report from the clerk of the course in order to determine the circumstances surrounding this incident."" Race winner Sebastian Vettel said: ""Fortunately nothing happened to us or him. It's not what you want to see."" It is the second time this year someone has gained access to a track during a grand prix weekend, with a spectator running across the circuit during practice at the Chinese Grand Prix in April. Media playback is not supported on this device . It is also the third time in recent history that a track invader has disrupted a grand prix. In 2003, a man wearing a kilt ran across the track during the British Grand Prix. And a disaffected former Mercedes employee invaded the track during the 2000 race in Germany. Vettel, who drives for Ferrari, made a joke about this incident, which has been reported to involve an English tourist. ""When I was watching F1 there was a scene in Hockenheim and then a couple of years later in Silverstone,"" he said. ""This guy was fairly boring. He could have dressed a little funny or something. ""Now we are joking about it, but it is fairly serious."" Red Bull's Daniel Ricciardo, who finished second, added: ""He was on his phone taking pictures, probably for Instagram or something. ""I hope he got some more followers because it's got to be worth a night in prison.""",A man ran on to the track during the Austrian Grand Prix.,"['The source text does not specify that it was the Austrian Grand Prix. It only mentions that the incident occurred during a Grand Prix weekend, confirming it was a Grand Prix race, but there is no information about which specific Grand Prix it was.']",inconsistent
